NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Bank Spółdzielczy w Żołyni,91750000,"Żołynia, ul. Kmiecie 1, 37-110"
Bank Ochrony Środowiska Spółka Akcyjna,15401030,"Wrocław, ul. Swobodna 1, 50-088"
Bank Spółdzielczy w Gorzycach,84690009,"Gorzyce, ul. Kościelna 21A, 44-350"
Bank Polska Kasa Opieki Spółka Akcyjna,12405774,"Kętrzyn, ul. Obrońców Westerplatte 1, 11-400"
Bank Spółdzielczy w Łopusznie,84990008,"Łopuszno, ul. Przedborska 10, 26-070"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202212,"Kalisz, ul. Górnośląska 80, 62-800"
BNP Paribas Bank Polska Spółka Akcyjna,16001329,"Opole, ul. Krakowska 26, 45-075"
Alior Bank Spółka Akcyjna,10600151,"Warszawa, ul. Łopuszańska 38D, 02-232"
ING Bank Śląski Spółka Akcyjna,10501810,"Kazimierza Wielka, ul. Kościuszki 1, 28-500"
Santander Bank Polska Spółka Akcyjna,15001432,"Kalisz, ul. Górnośląska 50, 62-800"
Bank Polska Kasa Opieki Spółka Akcyjna,12402236,"Krasnystaw, ul. Marszałka Piłsudskiego 11, 22-300"
Bank Spółdzielczy w Żurawicy,91131030,"Stubno, Stubno 68, 37-723"
PKO Bank Hipoteczny Spółka Akcyjna,10205646,"Warszawa, ul. Puławska 15, 02-515"
Bank Spółdzielczy w Piotrkowie Kujawskim,95510002,"Piotrków Kujawski, ul. Poznańska 13, 88-230"
Bank Spółdzielczy w Skaryszewie,91500009,"Skaryszew, ul. Żeromskiego 7A, 26-640"
Bank Polska Kasa Opieki Spółka Akcyjna,12404751,"Rzeszów, ul. Juliusza Słowackiego 5, 35-060"
Bank Spółdzielczy w Andrespolu,87810006,"Andrespol, ul. Rokicińska 130A, 95-020"
ING Bank Śląski Spółka Akcyjna,10501908,"Wałbrzych, ul. Juliusza Słowackiego 7, 58-300"
Raiffeisen Bank International AG (Spółka Akcyjna) Oddział w Polsce,27900008,"Warszawa, Plac Konesera 8, 03-736"
Bank Pocztowy Spółka Akcyjna,13201117,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Alior Bank Spółka Akcyjna,24900005,"Warszawa, ul. Łopuszańska 38D, 02-232"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa PROGRES,70460005,"Koziegłowy, os. Leśne 16, 62-028"
Bank Spółdzielczy w Sejnach,93540007,"Sejny, ul. Powstańców Sejneńskich 1, 16-500"
Bank Spółdzielczy w Chodzieży,89450002,"Chodzież, ul. Składowa 1, 64-800"
Bank Polska Kasa Opieki Spółka Akcyjna,12406348,"Grodzisk Mazowiecki, ul. Armii Krajowej 16, 05-825"
Alior Bank Spółka Akcyjna,10600021,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Reszlu,88510008,"Reszel, ul. Kolejowa 4, 11-440"
mBank Spółka Akcyjna,11401560,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
"HAITONG BANK, S.A. Spółka Akcyjna Oddział w Polsce",24700012,"Warszawa, ul. Złota 59, 00-120"
Regionalna Spółdzielcza Kasa Oszczędnościowo-Kredytowa im. św. Brata Alberta,71900007,"Szczytno, ul. Polska 35/1, 12-100"
Santander Bank Polska Spółka Akcyjna,10902457,"Trzebnica, ul. ks. Dziekana Wawrzyńca Bochenka 71, 55-100"
Bank Spółdzielczy w Ślesinie,85340006,"Ślesin, pl. Wolności 14, 62-561"
Bank Spółdzielczy w Chłopicach,90910009,"Chłopice, Chłopice 192, 37-561"
Bank Spółdzielczy w Gnieźnie,90650006,"Gniezno, ul. Dąbrówki 19, 62-200"
ING Bank Śląski Spółka Akcyjna,10501403,"Wodzisław Śląski, ul. ks. płk. Wilhelma Kubsza 27, 44-300"
Lubelski Bank Spółdzielczy,87361016,"Dęblin, ul. Rynek 44, 08-530"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202430,"Olkusz, ul. Bylicy 6, 32-300"
Santander Bank Polska Spółka Akcyjna,15002152,"Kępno, ul. Kościuszki 6, 63-600"
Bank Spółdzielczy w Kolbuszowej,91801034,"Niwiska, Niwiska 430, 36-147"
Bank Spółdzielczy Ziemi Kraśnickiej  w Kraśniku,87171110,"Batorz, Batorz 51A, 23-320"
Bank Polska Kasa Opieki Spółka Akcyjna,12406830,"Wrocław, ul. Jedności Narodowej 203, 50-303"
BNP Paribas Bank Polska Spółka Akcyjna,17501211,"Częstochowa, Plac Ignacego Daszyńskiego 9/10, 42-202"
Bank Polska Kasa Opieki Spółka Akcyjna,12406393,"Błonie, ul. Poznańska 4, 05-870"
Bank Spółdzielczy w Sławnie,93171038,"Polanów, ul. Dworcowa 3, 76-130"
ING Bank Śląski Spółka Akcyjna,10501894,"Siedlce, ul. Morska 7, 08-110"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203639,"Mrągowo, ul. Ratuszowa 1A, 11-700"
ING Bank Śląski Spółka Akcyjna,10501937,"Bełchatów, ul. Józefa Piłsudskiego 15, 97-400"
Santander Bank Polska Spółka Akcyjna,15001546,"Łódź, ul. Bednarska 42, 93-037"
mBank Spółka Akcyjna,11402059,"Łódź, ul. Piotrkowska 148/150, 90-063"
Santander Bank Polska Spółka Akcyjna,15001490,"Krosno, ul. Augusta Lewakowskiego 23, 38-400"
Bałtycki Bank Spółdzielczy,85661013,"Bobolice, ul. Magazynowa 4, 76-020"
Bank Polska Kasa Opieki Spółka Akcyjna,12405051,"Myślenice, ul. Konstantego Ildefonsa Gałczyńskiego 9, 32-400"
Gospodarczy Bank Spółdzielczy w Barlinku,83551077,"Kostrzyn nad Odrą, ul. Kopernika 2, 66-470"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881112,"Chąśno, Chąśno 55, 99-413"
Bank Polska Kasa Opieki Spółka Akcyjna,12405471,"Gdańsk, ul. Piecewska 31, 80-288"
