IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1072616
KATARZYNA,KOBIETA,604753
MARIA,KOBIETA,585573
MAŁGORZATA,KOBIETA,577214
AGNIESZKA,KOBIETA,547485
BARBARA,KOBIETA,479955
EWA,KOBIETA,476100
MAGDALENA,KOBIETA,434573
ELŻBIETA,KOBIETA,415199
JOANNA,KOBIETA,404003
KRYSTYNA,KOBIETA,403874
ALEKSANDRA,KOBIETA,389719
MONIKA,KOBIETA,377945
ZOFIA,KOBIETA,369226
TERESA,KOBIETA,327952
NATALIA,KOBIETA,317133
JULIA,KOBIETA,307602
DANUTA,KOBIETA,296760
KAROLINA,KOBIETA,294334
MARTA,KOBIETA,289773
BEATA,KOBIETA,280043
DOROTA,KOBIETA,268289
ALICJA,KOBIETA,252802
HALINA,KOBIETA,238059
JOLANTA,KOBIETA,236965
IWONA,KOBIETA,232538
JADWIGA,KOBIETA,231844
GRAŻYNA,KOBIETA,228174
PAULINA,KOBIETA,224066
ZUZANNA,KOBIETA,224033
HANNA,KOBIETA,222618
JANINA,KOBIETA,217197
JUSTYNA,KOBIETA,216718
IRENA,KOBIETA,209399
WIKTORIA,KOBIETA,205558
BOŻENA,KOBIETA,198786
RENATA,KOBIETA,187830
URSZULA,KOBIETA,184392
AGATA,KOBIETA,184049
SYLWIA,KOBIETA,182453
MAJA,KOBIETA,179730
PATRYCJA,KOBIETA,169445
HELENA,KOBIETA,163805
EMILIA,KOBIETA,161496
OLIWIA,KOBIETA,159830
IZABELA,KOBIETA,159409
ANETA,KOBIETA,151669
WERONIKA,KOBIETA,151315
EWELINA,KOBIETA,148205
MARTYNA,KOBIETA,142405
KLAUDIA,KOBIETA,138825
GABRIELA,KOBIETA,134547
LENA,KOBIETA,129748
MARZENA,KOBIETA,129430
AMELIA,KOBIETA,124228
DOMINIKA,KOBIETA,122862
KINGA,KOBIETA,120929
MARIANNA,KOBIETA,116193
EDYTA,KOBIETA,114004
KAMILA,KOBIETA,111270
STANISŁAWA,KOBIETA,110249
WIESŁAWA,KOBIETA,105001
ALINA,KOBIETA,103334
WANDA,KOBIETA,93097
DARIA,KOBIETA,87225
TETIANA,KOBIETA,86019
LIDIA,KOBIETA,82647
MARIOLA,KOBIETA,81972
NATALIIA,KOBIETA,81158
LUCYNA,KOBIETA,79828
OLENA,KOBIETA,78551
NIKOLA,KOBIETA,77645
MILENA,KOBIETA,76609
IRYNA,KOBIETA,75203
LAURA,KOBIETA,73662
WIOLETTA,KOBIETA,72516
MIROSŁAWA,KOBIETA,69863
ANTONINA,KOBIETA,69163
ANGELIKA,KOBIETA,64906
OLHA,KOBIETA,61285
OLGA,KOBIETA,61187
OKSANA,KOBIETA,59347
MARIIA,KOBIETA,57362
MICHALINA,KOBIETA,56621
SVITLANA,KOBIETA,56280
ILONA,KOBIETA,55045
BOGUMIŁA,KOBIETA,54726
KAZIMIERA,KOBIETA,54512
SANDRA,KOBIETA,54362
ANASTASIIA,KOBIETA,53873
YULIIA,KOBIETA,53833
NADIA,KOBIETA,53066
VIKTORIIA,KOBIETA,52563
KORNELIA,KOBIETA,50889
GENOWEFA,KOBIETA,49147
ŁUCJA,KOBIETA,48602
MARLENA,KOBIETA,48545
NINA,KOBIETA,47799
LILIANA,KOBIETA,47291
POLA,KOBIETA,47272
IGA,KOBIETA,47261
BOGUSŁAWA,KOBIETA,47064
SABINA,KOBIETA,47013
HENRYKA,KOBIETA,46236
KATERYNA,KOBIETA,46116
ANITA,KOBIETA,45901
MARCELINA,KOBIETA,45648
JÓZEFA,KOBIETA,43734
STEFANIA,KOBIETA,43069
JAGODA,KOBIETA,42947
REGINA,KOBIETA,42300
LIUDMYLA,KOBIETA,40479
ANIELA,KOBIETA,39027
CZESŁAWA,KOBIETA,37835
KARINA,KOBIETA,37125
WŁADYSŁAWA,KOBIETA,36584
DIANA,KOBIETA,34697
WIOLETA,KOBIETA,34362
ADRIANNA,KOBIETA,34309
SARA,KOBIETA,32130
ROKSANA,KOBIETA,32047
DAGMARA,KOBIETA,31786
HALYNA,KOBIETA,31088
MALWINA,KOBIETA,30418
MARYNA,KOBIETA,29058
SOFIIA,KOBIETA,28518
ELIZA,KOBIETA,28383
KLARA,KOBIETA,28144
VALENTYNA,KOBIETA,27509
ŻANETA,KOBIETA,27106
CECYLIA,KOBIETA,26431
KAJA,KOBIETA,26102
RÓŻA,KOBIETA,26035
NADIIA,KOBIETA,25945
BLANKA,KOBIETA,25870
ZDZISŁAWA,KOBIETA,25440
ANASTAZJA,KOBIETA,24293
LEOKADIA,KOBIETA,23536
OLEKSANDRA,KOBIETA,23297
BERNADETA,KOBIETA,22762
JULITA,KOBIETA,21846
ROZALIA,KOBIETA,21165
BRONISŁAWA,KOBIETA,20991
EUGENIA,KOBIETA,20946
ALDONA,KOBIETA,20938
LILIANNA,KOBIETA,20799
INNA,KOBIETA,20637
VIOLETTA,KOBIETA,20622
DANIELA,KOBIETA,19442
LIUBOV,KOBIETA,19040
YANA,KOBIETA,18967
MAGDA,KOBIETA,18361
MATYLDA,KOBIETA,17850
CELINA,KOBIETA,17663
NELA,KOBIETA,17379
VERONIKA,KOBIETA,17001
LARYSA,KOBIETA,16522
ADRIANA,KOBIETA,16321
HONORATA,KOBIETA,15889
VALERIIA,KOBIETA,15703
PAULA,KOBIETA,15570
AURELIA,KOBIETA,15330
ALLA,KOBIETA,14830
IZABELLA,KOBIETA,14453
KALINA,KOBIETA,14408
BRYGIDA,KOBIETA,14373
LILIIA,KOBIETA,13520
MARIKA,KOBIETA,13487
OLIVIA,KOBIETA,13107
SONIA,KOBIETA,12970
TAMARA,KOBIETA,12931
MIECZYSŁAWA,KOBIETA,12712
GERTRUDA,KOBIETA,12551
ALONA,KOBIETA,12542
ELWIRA,KOBIETA,12534
POLINA,KOBIETA,12375
BOŻENNA,KOBIETA,12350
MARZANNA,KOBIETA,12330
YELYZAVETA,KOBIETA,12105
ANDŻELIKA,KOBIETA,11817
ARLETA,KOBIETA,11257
TATIANA,KOBIETA,11253
MIA,KOBIETA,11246
KHRYSTYNA,KOBIETA,11226
LUIZA,KOBIETA,11128
VICTORIA,KOBIETA,10628
IVANNA,KOBIETA,10331
MARIANA,KOBIETA,10066
JUDYTA,KOBIETA,9817
NICOLE,KOBIETA,9727
LIWIA,KOBIETA,9630
ADELA,KOBIETA,9597
VIRA,KOBIETA,9315
NICOLA,KOBIETA,9115
YEVHENIIA,KOBIETA,9115
NATASZA,KOBIETA,9021
FRANCISZKA,KOBIETA,8946
JOWITA,KOBIETA,8780
ANHELINA,KOBIETA,8617
VANESSA,KOBIETA,8592
MELANIA,KOBIETA,8303
DARYNA,KOBIETA,8236
APOLONIA,KOBIETA,8168
ELENA,KOBIETA,8142
ALFREDA,KOBIETA,7996
INGA,KOBIETA,7986
JESSICA,KOBIETA,7799
ROMANA,KOBIETA,7784
MARHARYTA,KOBIETA,7737
ADA,KOBIETA,7712
LESIA,KOBIETA,7660
MILANA,KOBIETA,7563
BIANKA,KOBIETA,7532
ESTERA,KOBIETA,7348
MARZENNA,KOBIETA,7289
SOFIA,KOBIETA,7258
ELEONORA,KOBIETA,7209
JULIANNA,KOBIETA,7178
KARYNA,KOBIETA,6939
ZLATA,KOBIETA,6768
ALISA,KOBIETA,6754
LUDWIKA,KOBIETA,6735
KIRA,KOBIETA,6731
ULIANA,KOBIETA,6722
YEVA,KOBIETA,6716
BERNADETTA,KOBIETA,6606
LIDIIA,KOBIETA,6573
MAYA,KOBIETA,6495
OLESIA,KOBIETA,6384
ZENONA,KOBIETA,6368
LILIA,KOBIETA,6190
RITA,KOBIETA,6148
EMMA,KOBIETA,6119
IDA,KOBIETA,6061
ANETTA,KOBIETA,6032
WACŁAWA,KOBIETA,6028
DONATA,KOBIETA,6007
MYROSLAVA,KOBIETA,5981
LUDMIŁA,KOBIETA,5941
FELICJA,KOBIETA,5903
KSENIIA,KOBIETA,5883
WALENTYNA,KOBIETA,5852
KRISTINA,KOBIETA,5716
AMANDA,KOBIETA,5665
ARINA,KOBIETA,5629
RUSLANA,KOBIETA,5629
ZENOBIA,KOBIETA,5431
HILDEGARDA,KOBIETA,5393
ROMUALDA,KOBIETA,5356
ALENA,KOBIETA,5348
OTYLIA,KOBIETA,5312
DARIIA,KOBIETA,5306
VITA,KOBIETA,5296
GIZELA,KOBIETA,5126
ALBINA,KOBIETA,5107
ANASTASIYA,KOBIETA,5105
GAJA,KOBIETA,5047
IRMINA,KOBIETA,5042
YULIYA,KOBIETA,4960
SOLOMIIA,KOBIETA,4931
VIKTORIA,KOBIETA,4862
LILLA,KOBIETA,4719
SŁAWOMIRA,KOBIETA,4652
TATSIANA,KOBIETA,4621
BERNARDA,KOBIETA,4550
ANGELINA,KOBIETA,4503
VLADYSLAVA,KOBIETA,4462
ERYKA,KOBIETA,4455
VOLHA,KOBIETA,4452
KATSIARYNA,KOBIETA,4440
ZHANNA,KOBIETA,4241
PELAGIA,KOBIETA,4231
LONGINA,KOBIETA,4173
ALEXANDRA,KOBIETA,4158
RAISA,KOBIETA,4156
ZOJA,KOBIETA,4133
VARVARA,KOBIETA,4097
NATALLIA,KOBIETA,4074
KAMILLA,KOBIETA,4066
RYSZARDA,KOBIETA,4026
IRINA,KOBIETA,4024
WALERIA,KOBIETA,3961
ANZHELA,KOBIETA,3941
LILA,KOBIETA,3906
TEODOZJA,KOBIETA,3879
BOHDANA,KOBIETA,3877
MIRELA,KOBIETA,3838
TEODORA,KOBIETA,3790
FAUSTYNA,KOBIETA,3691
MARINA,KOBIETA,3625
ADELAJDA,KOBIETA,3580
EVA,KOBIETA,3558
NATALIYA,KOBIETA,3554
DARYA,KOBIETA,3533
ANASTASIA,KOBIETA,3519
MARIYA,KOBIETA,3511
SAMANTA,KOBIETA,3475
NEL,KOBIETA,3397
