IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
PIOTR,MĘŻCZYZNA,689313
KRZYSZTOF,MĘŻCZYZNA,641406
TOMASZ,MĘŻCZYZNA,536774
ANDRZEJ,MĘŻCZYZNA,533141
PAWEŁ,MĘŻCZYZNA,506006
MICHAŁ,MĘŻCZYZNA,492093
JAN,MĘŻCZYZNA,477845
MARCIN,MĘŻCZYZNA,449607
JAKUB,MĘŻCZYZNA,426709
ADAM,MĘŻCZYZNA,401674
ŁUKASZ,MĘŻCZYZNA,383582
MAREK,MĘŻCZYZNA,378001
MATEUSZ,MĘŻCZYZNA,377011
GRZEGORZ,MĘŻCZYZNA,374820
STANISŁAW,MĘŻCZYZNA,366180
WOJCIECH,MĘŻCZYZNA,335311
MARIUSZ,MĘŻCZYZNA,286869
DARIUSZ,MĘŻCZYZNA,283981
MACIEJ,MĘŻCZYZNA,267723
RAFAŁ,MĘŻCZYZNA,261766
ZBIGNIEW,MĘŻCZYZNA,261536
ROBERT,MĘŻCZYZNA,259284
KAMIL,MĘŻCZYZNA,251064
SZYMON,MĘŻCZYZNA,240430
DAWID,MĘŻCZYZNA,238566
JERZY,MĘŻCZYZNA,236958
JACEK,MĘŻCZYZNA,231162
KACPER,MĘŻCZYZNA,228002
JÓZEF,MĘŻCZYZNA,204623
BARTOSZ,MĘŻCZYZNA,204121
RYSZARD,MĘŻCZYZNA,201190
TADEUSZ,MĘŻCZYZNA,198702
ARTUR,MĘŻCZYZNA,196863
JAROSŁAW,MĘŻCZYZNA,190644
SEBASTIAN,MĘŻCZYZNA,185914
SŁAWOMIR,MĘŻCZYZNA,184574
DAMIAN,MĘŻCZYZNA,183944
JANUSZ,MĘŻCZYZNA,180439
PATRYK,MĘŻCZYZNA,179984
MIROSŁAW,MĘŻCZYZNA,179134
ROMAN,MĘŻCZYZNA,174905
FILIP,MĘŻCZYZNA,170474
DANIEL,MĘŻCZYZNA,170020
ANTONI,MĘŻCZYZNA,169877
KAROL,MĘŻCZYZNA,165749
PRZEMYSŁAW,MĘŻCZYZNA,165702
HENRYK,MĘŻCZYZNA,160865
ALEKSANDER,MĘŻCZYZNA,154503
ADRIAN,MĘŻCZYZNA,148895
KAZIMIERZ,MĘŻCZYZNA,143008
WIESŁAW,MĘŻCZYZNA,136950
FRANCISZEK,MĘŻCZYZNA,136096
